Category: All categories

Week,BTS: (Worldwide)
2018-12-02,61
2018-12-09,61
2018-12-16,62
2018-12-23,66
2018-12-30,67
2019-01-06,60
2019-01-13,62
2019-01-20,59
2019-01-27,59
2019-02-03,58
2019-02-10,66
2019-02-17,62
2019-02-24,59
2019-03-03,56
2019-03-10,54
2019-03-17,54
2019-03-24,57
2019-03-31,57
2019-04-07,79
2019-04-14,85
2019-04-21,69
2019-04-28,75
2019-05-05,69
2019-05-12,66
2019-05-19,69
2019-05-26,75
2019-06-02,75
2019-06-09,72
2019-06-16,69
2019-06-23,69
2019-06-30,75
2019-07-07,68
2019-07-14,66
2019-07-21,60
2019-07-28,62
2019-08-04,62
2019-08-11,65
2019-08-18,57
2019-08-25,56
2019-09-01,50
2019-09-08,47
2019-09-15,50
2019-09-22,48
2019-09-29,46
2019-10-06,52
2019-10-13,50
2019-10-20,48
2019-10-27,48
2019-11-03,50
2019-11-10,46
2019-11-17,47
2019-11-24,50
2019-12-01,57
2019-12-08,53
2019-12-15,53
2019-12-22,63
2019-12-29,66
2020-01-05,58
2020-01-12,56
2020-01-19,62
2020-01-26,63
2020-02-02,58
2020-02-09,55
2020-02-16,69
2020-02-23,76
2020-03-01,62
2020-03-08,61
2020-03-15,57
2020-03-22,58
2020-03-29,59
2020-04-05,60
2020-04-12,74
2020-04-19,74
2020-04-26,65
2020-05-03,64
2020-05-10,65
2020-05-17,67
2020-05-24,67
2020-05-31,89
2020-06-07,90
2020-06-14,83
2020-06-21,77
2020-06-28,71
2020-07-05,73
2020-07-12,75
2020-07-19,73
2020-07-26,81
2020-08-02,77
2020-08-09,78
2020-08-16,100
2020-08-23,98
2020-08-30,99
2020-09-06,90
2020-09-13,84
2020-09-20,87
2020-09-27,91
